keyword,freq,semantic_orientation,community
milk,5568,-8.306482878707298,1
school,3893,-8.193332393316672,1
like,2462,-7.1586145720087675,2
whole,2460,-4.936351321302826,1
one,1869,-7.175775505470159,2
get,1663,-4.025259067082438,2
time,1658,-5.369270146582373,2
kids,1626,1.7447474386892714,1
would,1522,-0.716618827534881,2
food,1445,-3.798376880448941,2
lunch,1305,-14.864925888713943,1
back,1253,-6.17135772311829,1
day,1229,-11.276241874728953,2
people,1225,-4.8538333863737035,2
even,1182,-3.323859637013173,2
schools,1127,-11.92147009951492,1
also,1106,-6.596802997813944,2
know,1090,-5.5379941631311995,2
got,1074,-8.05600445063808,2
make,1011,3.452240207346236,2
new,981,-16.087164219469187,1
first,962,-9.895488477592714,2
said,943,-10.888782062360995,2
year,935,-7.579155067265479,3
us,934,-10.061829466851023,2
want,903,-1.840842484206946,2
years,898,-15.006384575050308,3
could,864,-6.2950885627078,2
much,840,-7.026176851529176,2
really,829,-9.271868070203334,2
go,824,-14.964456227697628,2
children,809,-7.368867760755011,1
good,794,-0.9986245652017676,2
every,782,-12.515453515318482,2
think,766,-9.215001892432944,2
still,753,-6.181886897737809,2
eat,737,-2.6496128081234898,2
healthy,735,-4.608086389354014,1
home,733,-14.881789479310155,2
trump,731,-7.287072299684088,1
way,723,-7.947608845189205,2
going,705,-16.741726245797615,2
never,701,-8.208124040872336,2
two,695,-10.78570242013686,3
made,694,-9.67876558195891,2
old,692,-6.7051959917300445,3
work,690,-4.75226960162406,2
always,687,-4.042479706384891,2
dairy,686,-3.2018360784776183,1
since,684,-12.963816419449604,2
family,684,-5.999665943171852,2
chocolate,674,-8.77051247866726,1
post,657,-9.891464150759166,2
well,642,-10.248139240771794,2
little,638,-9.259006474072741,2
need,635,-3.8898404614269664,2
things,622,-2.4010994958622005,2
fat,619,-12.426653381914704,1
something,618,-11.677988374510795,2
high,615,-10.516454939584163,1
around,594,-15.131466016764497,2
see,582,-18.051540071621424,2
parents,580,-8.776970101732157,2
started,577,-9.055230735638641,2
free,572,-7.106444753824171,1
take,570,-1.1889327166340316,2
told,570,-7.943806479359733,2
week,568,-9.838723621752177,3
mom,567,-12.839695830174547,2
lot,564,-11.38308259047029,2
baby,563,-6.892236365091056,2
long,559,-12.46243536045412,2
life,541,-4.920757585795032,2
house,535,-9.301825235804987,1
many,528,-10.732565610051939,2
health,519,-4.593732896527443,1
last,519,-13.93597815840004,3
right,513,-12.338552020354179,2
nutrition,508,-7.3994556671379925,1
let,493,-5.40218724280979,2
