month,post_volume,avg_sentiment_score,month_period,year
2010-07,10,0.2273,2010-07,2010
2011-03,3,0.1144,2011-03,2011
2015-05,1,0.0211,2015-05,2015
2015-07,28,0.1762,2015-07,2015
2017-03,14,0.0619,2017-03,2017
2018-10,6,0.3957,2018-10,2018
2018-11,2,0.0376,2018-11,2018
2019-07,11,0.0318,2019-07,2019
2019-11,1,0.054,2019-11,2019
2019-12,10,0.73,2019-12,2019
2020-01,1,0.5752,2020-01,2020
2020-10,1,0.142,2020-10,2020
2020-11,10,0.2733,2020-11,2020
2021-01,1,0.0305,2021-01,2021
2021-10,8,0.0233,2021-10,2021
2022-01,11,0.1611,2022-01,2022
2022-02,3,0.0241,2022-02,2022
2022-03,11,0.1482,2022-03,2022
2022-04,10,0.1851,2022-04,2022
2022-05,1,0.0128,2022-05,2022
2022-08,11,0.1521,2022-08,2022
2022-12,11,0.1987,2022-12,2022
2023-01,12,0.2894,2023-01,2023
2023-02,10,0.3417,2023-02,2023
2023-03,7,0.0645,2023-03,2023
2023-05,29,0.0994,2023-05,2023
2023-06,6,0.2763,2023-06,2023
2023-08,11,0.1062,2023-08,2023
2023-09,11,0.2734,2023-09,2023
2023-11,37,0.1326,2023-11,2023
2023-12,21,0.0792,2023-12,2023
2024-01,1,0.0502,2024-01,2024
2024-03,2,0.4322,2024-03,2024
2024-04,2,0.3232,2024-04,2024
2024-07,3,0.1209,2024-07,2024
2024-10,36,0.1004,2024-10,2024
2024-11,17,0.1531,2024-11,2024
2024-12,25,0.5142,2024-12,2024
2025-02,20,0.5874,2025-02,2025
2025-03,10,0.6284,2025-03,2025
2025-04,8,0.1174,2025-04,2025
2025-06,10,0.1844,2025-06,2025
2025-07,12,0.6283,2025-07,2025
2025-08,63,0.2464,2025-08,2025
2025-09,22,0.2162,2025-09,2025
2025-10,21,0.2627,2025-10,2025
2025-11,13,0.4109,2025-11,2025
2025-12,84,0.2137,2025-12,2025
2026-01,282,0.1716,2026-01,2026
2026-03,52,0.2702,2026-03,2026
2026-04,19,0.2869,2026-04,2026
