time_bin,volume,mean_mu,std_sigma,threshold,z_score,is_spike
2009-05,1,28.13,80.0,188.13,-0.34,False
2010-02,1,28.13,80.0,188.13,-0.34,False
2010-04,2,28.13,80.0,188.13,-0.33,False
2010-07,1,28.13,80.0,188.13,-0.34,False
2010-08,1,28.13,80.0,188.13,-0.34,False
2011-01,3,28.13,80.0,188.13,-0.31,False
2011-02,1,28.13,80.0,188.13,-0.34,False
2011-03,1,28.13,80.0,188.13,-0.34,False
2011-04,4,28.13,80.0,188.13,-0.3,False
2011-05,1,28.13,80.0,188.13,-0.34,False
2011-06,4,28.13,80.0,188.13,-0.3,False
2011-10,1,28.13,80.0,188.13,-0.34,False
2012-01,3,28.13,80.0,188.13,-0.31,False
2012-05,1,28.13,80.0,188.13,-0.34,False
2012-06,2,28.13,80.0,188.13,-0.33,False
2012-08,2,28.13,80.0,188.13,-0.33,False
2012-10,2,28.13,80.0,188.13,-0.33,False
2012-11,2,28.13,80.0,188.13,-0.33,False
2012-12,1,28.13,80.0,188.13,-0.34,False
2013-02,3,28.13,80.0,188.13,-0.31,False
2013-03,2,28.13,80.0,188.13,-0.33,False
2013-05,4,28.13,80.0,188.13,-0.3,False
2013-06,3,28.13,80.0,188.13,-0.31,False
2013-08,2,28.13,80.0,188.13,-0.33,False
2013-09,3,28.13,80.0,188.13,-0.31,False
2013-10,3,28.13,80.0,188.13,-0.31,False
2013-11,1,28.13,80.0,188.13,-0.34,False
2013-12,2,28.13,80.0,188.13,-0.33,False
2014-01,1,28.13,80.0,188.13,-0.34,False
2014-02,2,28.13,80.0,188.13,-0.33,False
2014-03,2,28.13,80.0,188.13,-0.33,False
2014-04,6,28.13,80.0,188.13,-0.28,False
2014-05,6,28.13,80.0,188.13,-0.28,False
2014-06,2,28.13,80.0,188.13,-0.33,False
2014-07,3,28.13,80.0,188.13,-0.31,False
2014-08,1,28.13,80.0,188.13,-0.34,False
2014-09,4,28.13,80.0,188.13,-0.3,False
2014-10,1,28.13,80.0,188.13,-0.34,False
2014-11,1,28.13,80.0,188.13,-0.34,False
2014-12,1,28.13,80.0,188.13,-0.34,False
2015-01,2,28.13,80.0,188.13,-0.33,False
2015-02,3,28.13,80.0,188.13,-0.31,False
2015-03,4,28.13,80.0,188.13,-0.3,False
2015-04,2,28.13,80.0,188.13,-0.33,False
2015-05,1,28.13,80.0,188.13,-0.34,False
2015-06,7,28.13,80.0,188.13,-0.26,False
2015-07,4,28.13,80.0,188.13,-0.3,False
2015-08,2,28.13,80.0,188.13,-0.33,False
2015-09,3,28.13,80.0,188.13,-0.31,False
2015-10,1,28.13,80.0,188.13,-0.34,False
2015-11,5,28.13,80.0,188.13,-0.29,False
2016-01,5,28.13,80.0,188.13,-0.29,False
2016-02,4,28.13,80.0,188.13,-0.3,False
2016-03,5,28.13,80.0,188.13,-0.29,False
2016-04,4,28.13,80.0,188.13,-0.3,False
2016-05,5,28.13,80.0,188.13,-0.29,False
2016-06,2,28.13,80.0,188.13,-0.33,False
2016-07,3,28.13,80.0,188.13,-0.31,False
2016-08,1,28.13,80.0,188.13,-0.34,False
2016-09,3,28.13,80.0,188.13,-0.31,False
2016-10,6,28.13,80.0,188.13,-0.28,False
2016-11,3,28.13,80.0,188.13,-0.31,False
2016-12,3,28.13,80.0,188.13,-0.31,False
2017-01,1,28.13,80.0,188.13,-0.34,False
2017-02,3,28.13,80.0,188.13,-0.31,False
2017-03,6,28.13,80.0,188.13,-0.28,False
2017-04,5,28.13,80.0,188.13,-0.29,False
2017-05,12,28.13,80.0,188.13,-0.2,False
2017-06,2,28.13,80.0,188.13,-0.33,False
2017-07,7,28.13,80.0,188.13,-0.26,False
2017-08,5,28.13,80.0,188.13,-0.29,False
2017-09,5,28.13,80.0,188.13,-0.29,False
2017-10,7,28.13,80.0,188.13,-0.26,False
2017-11,9,28.13,80.0,188.13,-0.24,False
2017-12,7,28.13,80.0,188.13,-0.26,False
2018-01,3,28.13,80.0,188.13,-0.31,False
2018-02,7,28.13,80.0,188.13,-0.26,False
2018-03,2,28.13,80.0,188.13,-0.33,False
2018-04,2,28.13,80.0,188.13,-0.33,False
2018-05,6,28.13,80.0,188.13,-0.28,False
2018-06,13,28.13,80.0,188.13,-0.19,False
2018-07,6,28.13,80.0,188.13,-0.28,False
2018-08,6,28.13,80.0,188.13,-0.28,False
2018-09,9,28.13,80.0,188.13,-0.24,False
2018-10,6,28.13,80.0,188.13,-0.28,False
2018-11,4,28.13,80.0,188.13,-0.3,False
2018-12,35,28.13,80.0,188.13,0.09,False
2019-01,14,28.13,80.0,188.13,-0.18,False
2019-02,11,28.13,80.0,188.13,-0.21,False
2019-03,11,28.13,80.0,188.13,-0.21,False
2019-04,7,28.13,80.0,188.13,-0.26,False
2019-05,14,28.13,80.0,188.13,-0.18,False
2019-06,11,28.13,80.0,188.13,-0.21,False
2019-07,8,28.13,80.0,188.13,-0.25,False
2019-08,8,28.13,80.0,188.13,-0.25,False
2019-09,18,28.13,80.0,188.13,-0.13,False
2019-10,17,28.13,80.0,188.13,-0.14,False
