topic,rank,term
1,1,school
1,2,milk
1,3,dairy
1,4,fat
1,5,schools
1,6,lunch
1,7,saturated
1,8,kids
1,9,education
1,10,industry
2,1,milk
2,2,whole
2,3,fat
2,4,trump
2,5,school
2,6,schools
2,7,law
2,8,lunches
2,9,bill
2,10,dairy
3,1,milk
3,2,chocolate
3,3,school
3,4,sugar
3,5,lunch
3,6,cream
3,7,tv
3,8,whole
3,9,added
3,10,rice
4,1,milk
4,2,kids
4,3,food
4,4,whole
4,5,like
4,6,get
4,7,really
4,8,know
4,9,things
4,10,even
5,1,milk
5,2,school
5,3,get
5,4,kids
5,5,whole
5,6,like
5,7,make
5,8,back
5,9,one
5,10,away
6,1,school
6,2,food
6,3,eat
6,4,kids
6,5,one
6,6,lunch
6,7,lunches
6,8,would
6,9,get
6,10,meals
